Tiempo(s)	Voltaje(V)
0.000000000000000000e+00	2.356827676703687757e-01
1.000000000000000021e-03	2.781477099924813956e-01
2.000000000000000042e-03	2.849034962709993124e-01
3.000000000000000062e-03	1.877488555037416518e-01
4.000000000000000083e-03	6.003232442890293896e-02
5.000000000000000104e-03	2.340742471278645098e-01
6.000000000000000125e-03	2.758957812329754233e-01
7.000000000000000146e-03	2.800779346434865147e-01
8.000000000000000167e-03	1.848535185272339731e-01
8.999999999999999320e-03	5.842380388639867306e-02
1.000000000000000021e-02	2.321440224768593907e-01
1.099999999999999936e-02	2.765391894499771297e-01
1.200000000000000025e-02	2.807213428604882210e-01
1.299999999999999940e-02	1.871054472867399454e-01
1.400000000000000029e-02	6.035402853740379214e-02
1.499999999999999944e-02	2.360044717788696289e-01
1.600000000000000033e-02	2.800779346434865147e-01
1.700000000000000122e-02	2.829732716199941933e-01
1.799999999999999864e-02	1.890356719377450645e-01
1.899999999999999953e-02	6.099743675440549850e-02
2.000000000000000042e-02	2.347176553448662162e-01
2.100000000000000130e-02	2.784694141009822488e-01
2.199999999999999872e-02	2.800779346434865147e-01
2.299999999999999961e-02	1.864620390697382390e-01
2.400000000000000050e-02	5.842380388639867306e-02
2.500000000000000139e-02	2.318223183683585376e-01
2.599999999999999881e-02	2.778260058839805424e-01
2.699999999999999969e-02	2.794345264264848083e-01
2.800000000000000058e-02	1.871054472867399454e-01
2.900000000000000147e-02	6.003232442890293896e-02
2.999999999999999889e-02	2.337525430193636566e-01
3.099999999999999978e-02	2.794345264264848083e-01
3.200000000000000067e-02	2.823298634029924870e-01
3.300000000000000155e-02	1.883922637207433581e-01
3.400000000000000244e-02	6.131914086290635169e-02
3.500000000000000333e-02	2.347176553448662162e-01
3.599999999999999728e-02	2.791128223179839551e-01
3.699999999999999817e-02	2.803996387519873679e-01
3.799999999999999906e-02	1.874271513952407986e-01
3.899999999999999994e-02	5.938891621190123260e-02
4.000000000000000083e-02	2.327874306938610971e-01
4.100000000000000172e-02	2.762174853414762765e-01
4.200000000000000261e-02	2.775043017754796892e-01
4.299999999999999656e-02	1.854969267442356795e-01
4.399999999999999745e-02	5.842380388639867306e-02
4.499999999999999833e-02	2.331091348023619503e-01
4.599999999999999922e-02	2.778260058839805424e-01
4.700000000000000011e-02	2.794345264264848083e-01
4.800000000000000100e-02	1.887139678292442113e-01
4.900000000000000189e-02	6.131914086290635169e-02
5.000000000000000278e-02	2.350393594533670694e-01
5.099999999999999672e-02	2.807213428604882210e-01
5.199999999999999761e-02	2.813647510774899274e-01
5.299999999999999850e-02	1.883922637207433581e-01
5.399999999999999939e-02	6.099743675440549850e-02
5.500000000000000028e-02	2.343959512363653630e-01
5.600000000000000117e-02	2.765391894499771297e-01
5.700000000000000205e-02	2.775043017754796892e-01
5.800000000000000294e-02	1.851752226357348263e-01
5.899999999999999689e-02	5.842380388639867306e-02
